243sentences.0,lowPMI_random,encourages the beekeeping of habitats conservation local.,0.7811258937411024
243sentences.1,lowPMI_random,in that pollen to is plants every beekeeper's conserve produce interest it local.,0.6423813060785437
243sentences.2,lowPMI_random,agriculture cleared as not crops make a that of vegetation for form passive does be native way it to require.,0.6575796285478944
243sentences.3,lowPMI_random,kill the beekeepers discourage pesticides of use could also on honeybees crops they the because.,0.8111207787317045
243sentences.4,lowPMI_random,worth the artisanal go their for extremes is beekeepers craft effort but product to their.,0.47999643764332334
243sentences.5,lowPMI_random,quantity over consistency honey-making emphasizes and and character quality artisanal.,0.827549733619377
243sentences.6,lowPMI_random,the beekeepers their finest of honeybees to produce become honey micromanagers.,0.9280569083506762
243sentences.7,lowPMI_random,when and scout the know ways extract fields the flows to best they nectar honey select.,0.8037128405493074
243sentences.8,lowPMI_random,hum the as 40000 the air the hive fills beekeeper opens bees of the deep.,1.0502264298306614
243sentences.9,lowPMI_random,supplies beekeeper the stores nursery pollen and checks honey the bee.,1.0903562484066773
243sentences.10,lowPMI_random,they're arms they bare bees hands but crawl his don't sting across and because gentle.,0.8112513656907562
243sentences.11,lowPMI_random,i'm exams about recurring a though even i in longer have college dream no.,0.7688288225606448
243sentences.12,lowPMI_random,to my day i've of the and i final it's gone in my class dream exam never suddenly realize.,0.6433602031369703
243sentences.13,lowPMI_random,of assignments any even i've done reading the never.,0.44833523086174387
243sentences.14,lowPMI_random,other i who nightmare many same know the have people.,0.28688480248751275
243sentences.15,lowPMI_random,night study write morning their the experience the in participants to from dream each had previous down.,0.804917467768094
243sentences.16,lowPMI_random,any intensity they dream recalled recorded if its each and emotional described and they dreams.,0.5299558175264601
243sentences.17,lowPMI_random,a such a each dream a assigned category participants bad nightmare dream as or flying then to dream a.,1.067658056608469
243sentences.18,lowPMI_random,our awake we as sleep night while we active are are as when every minds.,0.9596695371969655
243sentences.19,lowPMI_random,we throughout cycles in night dream ninety minutes each the about of.,0.6314933507174809
243sentences.20,lowPMI_random,fill feelings images can and strange our of characters dreams places combinations stories and.,0.8966604456209067
243sentences.21,lowPMI_random,bad i when start to went to playing worse from decided cards things.,0.6422436562811192
243sentences.22,lowPMI_random,close i and already to something it to i had had do gambling was spent $10000 doing.,0.7613396380535561
243sentences.23,lowPMI_random,of friends sick watching savings gamble my away were me my.,0.6829768070497506
243sentences.24,lowPMI_random,have horror a hardest after the money did was part leaving i losing the of not casino.,0.6400187361025473
243sentences.25,lowPMI_random,of by to good gambling data come social and hard on the are legalized economic effects.,0.6336962785355907
243sentences.26,lowPMI_random,likely some indicate casino a having studies gambling problems more that makes nearby.,0.8182274491541918
243sentences.27,lowPMI_random,also with marriage be and problems gambling may personal associated bankruptcies.,0.7659498842116875
243sentences.28,lowPMI_random,past of gambling been the expansion generation there a legalized has over dramatic.,0.7731512995857791
